|                                         2024년도(9/23\~10/20까지)                                                               /                                        9/23\~9/29                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 9월 23일 | 건보침 | 20 | ta침 | 6 |  | 소염약침 | 0 | 통증매선 | 6 | 다이어트 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보추나 | 7 | ta추나 | 7 |  | 태반약침 | 0 | 통증사냥 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 1 |  | 마디튼튼 |  | 한약 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.2/16\~ 2026.2/22 | 당일예약 수 | 87 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 61 | ta침 | 24 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 15 | ta추나 | 18 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 8 | 입원침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
